round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,rec_objective,rec_probe_only,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
26,1,0.14723719250982437,0.0,0.0,0.535387541118421,1.0,0.535387541118421,0.18333675986842105,0.0,0.0,0.0,0.0,0.4646124588815789,0,0.0,0,0.07033674075317226,0.233387413179796,0.0,0.0,0.30372415393296825,0.0,0,0.0,0.0,0.0,0,0.3037241543790227,194560,760,0.0,0.0,0,0.0
27,1,0.14702202642577075,0.0,0.0,0.5413805509868421,1.0,0.5413805509868421,0.22081620065789473,0.0,0.0,0.0,0.0,0.4586194490131579,0,0.0,0,0.06897052747050399,0.23061050459938615,0.0,0.0,0.2995810320698901,0.0,0,0.0,0.0,0.0,0,0.2995810322855648,194560,760,0.0,0.0,0,0.0
28,1,0.14679896231490497,0.0,0.0,0.5532329358552631,1.0,0.5532329358552631,0.23042763157894736,0.0,0.0,0.0,0.0,0.4467670641447368,0,0.0,0,0.07134339876448441,0.23239991432546,0.0,0.0,0.3037433130899444,0.0,0,0.0,0.0,0.0,0,0.30374331264511534,194560,760,0.0,0.0,0,0.0
29,1,0.14656802463872076,0.0,0.0,0.5315224095394737,1.0,0.5315224095394737,0.16749588815789473,0.0,0.0,0.0,0.0,0.46847759046052634,0,0.0,0,0.08673749261897204,0.23187901539433944,0.0,0.0,0.3186165080133115,0.0,0,0.0,0.0,0.0,0,0.3186165079474449,194560,760,0.0,0.0,0,0.0
30,1,0.14632923872213652,0.0,0.0,0.5287571957236842,1.0,0.5287571957236842,0.22862356085526317,0.0,0.0,0.0,0.0,0.47124280427631576,0,0.0,0,0.08769048632637254,0.23584052928184207,0.0,0.0,0.3235310156082146,0.0,0,0.0,0.0,0.0,0,0.3235310158643283,194560,760,0.0,0.0,0,0.0
31,1,0.14608263075071895,0.0,0.0,0.5472245065789474,0.9998037558465062,0.5471171169688828,0.1821823110411826,0.0,0.0,0.0,0.0,0.4527754934210526,0,0.0,0,0.09168050798072823,0.2287744420825651,0.0,0.0,0.3205129763803071,5.802631701379524e-05,0,0.0,0.03616353049874306,0.8468119861263977,0,0.32051297553667896,194560,760,0.0013187701808515396,0.9769942434210527,40,0.0027390523158633555
32,1,0.14582822776781112,0.0,0.0,0.5033768503289474,0.9990854985740469,0.5029165114815298,0.2169279331243352,0.0,0.0,0.0,0.0,0.49662314967105264,0,0.0,0,0.09906861436688096,0.2246967284793132,0.0,0.0,0.3240050246944807,0.00023968184828654078,0,0.0,0.03675465497531389,0.8750539347529411,0,0.32400502507623874,194560,760,0.005062493863270471,0.9754625822368421,40,0.010926199633097156
33,1,0.14556605767156694,0.0,0.0,0.5343441611842106,0.9980269100893499,0.5332898521109631,0.20623078383015175,0.0,0.0,0.0,0.0,0.4656558388157895,0,0.0,0,0.06783722604159266,0.22356493026998484,0.0,0.0,0.29185192055286424,0.0004497642412867495,0,0.0,0.0370378177564003,0.730631383586871,0,0.2918519204384402,194560,760,0.011624619794862442,0.9702611019736842,40,0.024471741852423234
34,1,0.14529614921189185,0.0,0.0,0.5478001644736842,0.9968237093229145,0.5460601919183605,0.22061704907835902,0.0,0.0,0.0,0.0,0.45219983552631576,0,0.0,0,0.07442818361941088,0.22517644527711367,0.0,0.0,0.30029205878898596,0.0006874298924613916,0,0.0,0.03656969940485923,0.6291573618979831,0,0.30029205874000725,194560,760,0.020555717618155635,0.9602025082236842,40,0.04322727117869957
35,1,0.14501853198729012,0.0,0.0,0.5700503700657895,0.994695845727601,0.5670267349599223,0.2255139707612168,0.0,0.0,0.0,0.0,0.42994962993421054,0,0.0,0,0.05454594811338833,0.22786042636358425,0.0,0.0,0.28323057207078245,0.0008241975938098652,0,0.0,0.03643669784559231,0.48376674459953056,0,0.28323057207622027,194560,760,0.03243663642236865,0.964612458881579,40,0.06698729810778065
36,1,0.14473323644161884,0.0,0.0,0.5622121710526315,0.9939973537953118,0.558837410297833,0.2060967022994239,0.0,0.0,0.0,0.0,0.4377878289473684,0,0.0,0,0.060066524178622974,0.2320915596167508,0.0,0.0,0.2931746827219046,0.0010165989265308445,0,0.0,0.036476803678823146,0.41541748072363827,0,0.2931746824987625,194560,760,0.04554693015096219,0.9647152549342105,40,0.09549150281252627
37,1,0.14444029386074964,0.0,0.0,0.5362458881578948,0.9901726341766754,0.5309760036437134,0.21432373371759528,0.0,0.0,0.0,0.0,0.46375411184210524,0,0.0,0,0.06027936724253538,0.22790190265759042,0.0,0.0,0.289478476366065,0.0012972064659391579,0,0.0,0.03657144691402975,0.3906096895862567,0,0.28947847628671874,194560,760,0.06040287144531153,0.9622841282894737,40,0.12842758726130288
38,1,0.14413973636913752,0.0,0.0,0.591956208881579,0.9881670088078695,0.5849515962757562,0.14923850731850652,0.0,0.0,0.0,0.0,0.40804379111842104,0,0.0,0,0.051225091490318606,0.23159205594933346,0.0,0.0,0.2841023401954628,0.0012851927558107203,0,0.0,0.03599345442397814,0.2973106308399062,0,0.2841023403268896,194560,760,0.0804688088840952,0.9791272615131579,40,0.16543469682057088
39,1,0.14383159692629857,0.0,0.0,0.5971165707236842,0.9831323675619855,0.5870446278860695,0.15873764712167412,0.0,0.0,0.0,0.0,0.40288342927631576,0,0.0,0,0.04802747077284087,0.22497272940450594,0.0,0.0,0.27448631308032323,0.0014861129029764256,0,0.0,0.03650615618711239,0.27269759697741586,0,0.2744863125838731,194560,760,0.0989376570490238,0.9641755756578947,40,0.2061073738537634
40,1,0.14351590932319505,0.0,0.0,0.6191663240131579,0.9846012832248304,0.6096319571529564,0.17835369600277198,0.0,0.0,0.0,0.0,0.3808336759868421,0,0.0,0,0.04845564884415485,0.22281804690627674,0.0,0.0,0.2727086820098951,0.0014349862594635373,0,0.0,0.036067344581610275,0.2142176610368647,0,0.27270868179437363,194560,760,0.11931315327651407,0.9497841282894737,40,0.24999999999999997
41,1,0.14319270817853014,0.0,0.0,0.621875,0.9759016357316949,0.6068888297206477,0.1689188465868172,0.0,0.0,0.0,0.0,0.378125,0,0.0,0,0.05417188253149537,0.22284331393281095,0.0,0.0,0.2787068079008972,0.0016916114365908709,0,0.0,0.036480679769853225,0.20970896625597227,0,0.27870680824118227,194560,760,0.1446321537031939,0.9662674753289474,40,0.2966316784620998
42,1,0.14286202893495145,0.0,0.0,0.5636821546052632,0.9716628944144445,0.5477090338735204,0.19918654956609794,0.0,0.0,0.0,0.0,0.43631784539473684,0,0.0,0,0.06464796067754688,0.2229660602384492,0.0,0.0,0.2898347439489474,0.002220723032951355,0,0.0,0.03571199651219343,0.23255713566353448,0,0.2898347435911235,194560,760,0.1653329827479626,0.9655838815789474,40,0.3454915028125263
43,1,0.14252390785516453,0.0,0.0,0.5563425164473684,0.9661676544270088,0.5375201441739735,0.18459107197061378,0.0,0.0,0.0,0.0,0.44365748355263157,0,0.0,0,0.06060434119809591,0.22226660183974004,0.0,0.0,0.28554517549468744,0.0026742324568515053,0,0.0,0.03612333600850482,0.2399985653397284,0,0.2855451762284103,194560,760,0.18828465637603872,0.9548365542763158,40,0.39604415459112036
44,1,0.14217838201795596,0.0,0.0,0.5643092105263158,0.9645036241814333,0.5442782787115951,0.20056291745338392,0.0,0.0,0.0,0.0,0.4356907894736842,0,0.0,0,0.06188430772101702,0.21094092838466166,0.0,0.0,0.2758603644572615,0.0030351283515828026,0,0.0,0.03661456891384564,0.2363299399810402,0,0.27586036576448303,194560,760,0.21006404947685567,0.943200041118421,40,0.4477357683661733
45,1,0.14182548931412758,0.0,0.0,0.5692793996710527,0.9531454046127794,0.5426060437371857,0.2421479414168157,0.0,0.0,0.0,0.0,0.4307206003289474,0,0.0,0,0.06273821613101876,0.22034638047610458,0.0,0.0,0.2865478470679495,0.0034632504608261548,0,0.0,0.03666570791974664,0.23648553312216936,0,0.2865478476411418,194560,760,0.23840463361457775,0.9583624588815789,40,0.49999999999999994
46,1,0.14146526844234109,0.0,0.0,0.6078638980263158,0.9427617974125115,0.5730708610854651,0.17884631884946048,0.0,0.0,0.0,0.0,0.3921361019736842,0,0.0,0,0.05059533901512623,0.20850270036607982,0.0,0.0,0.2626284718219387,0.003530432440732655,0,0.0,0.036592991017785514,0.21340337750550947,0,0.26262847211604057,194560,760,0.27109556274586605,0.9625359786184211,40,0.5522642316338265
47,1,0.14109775890487442,0.0,0.0,0.5856239720394737,0.9522434119748672,0.5576565692691426,0.1532827851190967,0.0,0.0,0.0,0.0,0.4143760279605263,0,0.0,0,0.0522998514962015,0.21775647850805208,0.0,0.0,0.2741922056590403,0.004135875654786727,0,0.0,0.03670863714069128,0.22315096692427208,0,0.2741922053067308,194560,760,0.2879653110708061,0.9636050575657895,40,0.6039558454088796
