round,client,epoch,cls,query_count,query_correct,own_distance_sum,margin_sum
31,5,2,4,28,27,5.768671035766602,3.4100136756896973
31,5,2,5,20,18,3.3517932891845703,1.7302498817443848
31,5,2,7,8,7,0.9116618037223816,1.1818208694458008
31,5,2,9,13,13,1.6742146015167236,2.4436116218566895
31,5,3,0,3,3,0.991442084312439,0.575642466545105
31,5,3,1,22,22,3.023247003555298,3.661591053009033
31,5,3,3,28,27,4.7387189865112305,4.415013790130615
31,5,3,4,28,27,5.750978469848633,2.787045478820801
31,5,3,5,20,19,3.3612847328186035,2.735105276107788
31,5,3,7,8,8,0.9655888676643372,1.3041614294052124
31,5,3,9,13,13,1.5862200260162354,2.3850598335266113
31,5,4,0,3,3,1.0376521348953247,0.521145224571228
31,5,4,1,22,22,2.8476550579071045,3.4186716079711914
31,5,4,3,28,26,5.022121429443359,5.374347686767578
31,5,4,4,28,26,5.9471435546875,3.541076183319092
31,5,4,5,20,19,2.8586032390594482,2.883599281311035
31,5,4,7,8,8,1.017439603805542,1.215280294418335
31,5,4,9,13,13,1.3833731412887573,2.3628995418548584
31,5,5,0,3,3,0.7766173481941223,0.6286372542381287
31,5,5,1,22,22,2.7198781967163086,5.0557146072387695
31,5,5,3,28,28,5.771187782287598,3.968590259552002
31,5,5,4,28,25,5.354044437408447,3.5956673622131348
31,5,5,5,20,19,3.1359915733337402,3.1934876441955566
31,5,5,7,8,8,0.7774136662483215,1.409265398979187
31,5,5,9,13,13,1.4082765579223633,2.8184661865234375
31,4,1,0,14,8,3.2700490951538086,0.012149393558502197
31,4,1,2,22,11,5.170251369476318,0.8779670596122742
31,4,1,6,27,22,4.701082229614258,3.1128005981445312
31,4,1,7,14,11,2.2419371604919434,1.3460348844528198
31,4,1,8,32,30,4.921171188354492,3.138690948486328
31,4,1,9,13,13,1.3951020240783691,2.840236186981201
31,4,2,0,14,14,2.932549476623535,1.8294227123260498
31,4,2,2,22,19,5.521260738372803,2.5639142990112305
31,4,2,6,27,27,4.226705551147461,4.533752918243408
31,4,2,7,14,13,2.0686593055725098,1.7080960273742676
31,4,2,8,32,32,4.645668983459473,6.029600143432617
31,4,2,9,13,13,1.0835826396942139,2.7844371795654297
31,4,3,0,14,14,2.611145257949829,1.9466991424560547
31,4,3,2,22,22,5.066795825958252,2.6777524948120117
31,4,3,6,27,27,4.127562522888184,5.882129192352295
31,4,3,7,14,14,2.067075490951538,1.9784862995147705
31,4,3,8,32,32,4.710643768310547,6.010001182556152
31,4,3,9,13,13,0.9404619932174683,2.7967066764831543
31,4,4,0,14,14,2.7841732501983643,2.2214102745056152
31,4,4,2,22,22,4.469840049743652,3.7145912647247314
31,4,4,6,27,27,3.4481804370880127,6.706560134887695
31,4,4,7,14,14,1.824922800064087,2.7149925231933594
31,4,4,8,32,32,4.279135704040527,6.809002876281738
31,4,4,9,13,13,1.067972183227539,3.2920196056365967
31,4,5,0,14,14,2.757294178009033,2.2527225017547607
31,4,5,2,22,22,4.2307305335998535,3.97006893157959
31,4,5,6,27,27,4.182206153869629,4.941993713378906
31,4,5,7,14,14,1.6809954643249512,2.674131393432617
31,4,5,8,32,32,4.392214775085449,7.010370254516602
31,4,5,9,13,13,1.2151097059249878,3.0785040855407715
