loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,b_correct,b_total,lr,gate,aux_scale,tau0,delta0,eta_B,tau_warmup,a_ratio_cap,b_ratio_cap,use_a_for_proto,lambda_A_scale,lambda_B_scale,r_mean,m_mean,alpha_t,round,acc,phase
0.12497471569988289,0.09486769605251824,0.12042808019016919,0.0,1.9625908536346337,95.0,24320.0,9026.375,0.0,15293.625,15089.875,3532.0,11618.5,5494.375,9026.375,0.0,0.0,0.0982962913144534,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8460788503289222,0.0,1.0105263157894735,25,0.368,1
0.09948163826116604,0.07530999276848313,0.0966865829339153,0.0,1.9237200586419356,95.0,24320.0,8133.125,0.0,16186.875,14466.625,3080.25,10358.5,5052.875,8133.125,0.0,0.0,0.09815812833988291,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8185371347948125,0.0,1.0105263157894735,26,0.3538,1
0.09798892512304806,0.07298108523713095,0.10003135900601352,0.0,1.910900726443843,95.0,24320.0,7859.875,0.0,16460.125,15493.25,2945.125,10324.625,4914.75,7859.875,0.0,0.0,0.09801468428384717,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8202690380968546,0.0,1.0105263157894735,27,0.3507,1
0.11472618794068692,0.08788159449430072,0.10737837492978494,0.0,1.8982295550798112,95.0,24320.0,8680.0,0.0,15640.0,14751.875,3055.75,11377.125,5624.25,8680.0,0.0,0.0,0.09786597487660337,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.830506147365821,0.0,1.0105263157894735,28,0.3565,1
0.13235887176430736,0.10650022375859981,0.10343459065586919,0.0,1.9345015240342993,95.0,24320.0,7228.125,0.0,17091.875,15912.75,2957.875,9344.5,4270.25,7228.125,0.0,0.0,0.09771201642581384,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8082465612574627,0.0,1.0105263157894735,29,0.3216,1
0.13245036588418052,0.10225166201876403,0.12079481450154594,0.0,1.8616720428592282,95.0,24320.0,8541.375,0.0,15778.625,15185.625,2672.0,10744.25,5869.375,8541.375,0.0,0.0,0.09755282581475767,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8166040826000664,0.0,1.0105263157894735,30,0.3657,1
0.11641431512115033,0.09148564558463955,0.09971467831147542,0.0,1.8349516159609744,95.0,24320.0,6210.625,0.0,18109.375,14979.125,2526.75,8212.125,3683.875,6210.625,0.0,0.0,0.0973884205004793,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.7737916886022217,0.0,1.0105263157894735,31,0.3068,1
0.13541923085913846,0.08824448719923997,0.10560552498178655,0.21485587355533714,1.8339913060790614,95.0,24320.0,9052.5,8454.625,6812.875,16412.25,3948.375,12339.375,5104.125,9052.5,1737.25,8454.625,0.09721881851187407,0.0,0.07142857142857141,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8564955734108625,0.0,1.0105263157894735,32,0.3517,1
0.11764394177712109,0.06672727145755505,0.07644397084797291,0.2917287762521913,1.826769355566878,95.0,24320.0,7403.125,8430.375,8486.5,14751.0,2341.75,9656.25,5061.375,7403.125,2621.625,8430.375,0.09704403844771127,0.0,0.14285714285714282,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,0.27397233269758664,0.8039750099966401,0.0,1.0105263157894735,33,0.3273,1
0.13579067902541475,0.0716960596534926,0.0710059166015861,0.24397880361464458,1.7941447609349301,95.0,24320.0,7359.375,8377.625,8583.0,16303.25,2586.75,9674.375,4772.625,7359.375,1661.0,8377.625,0.0968640994745946,0.0,0.21428571428571425,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,0.30210418912709497,0.800537008596094,0.0,1.0105263157894735,34,0.3393,1
