round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
125,2,0.09441142838268907,0.883022221559489,1.0,0.637109375,0.9119858736066951,0.5810347499423906,0.07627691171303587,0.25420435855263157,0.5756058124676597,0.14632150633750776,0.056595161107466804,0.10868626644736842,0,0.0,0,0.01325960097624614,0.17986473646995269,0.12079857684622862,0.031082669412227055,0.3557542463071111,0.010748662602456629,49458,0.6397953819402321,0.03621252211497018,0.3557542446804674,194560,760,0.4539496751796258,0.8675061677631579,40,1.0
126,2,0.09365174153736408,0.9045084971874735,1.0,0.6230982730263158,0.9038212004701444,0.5631694291375186,0.06983849731224932,0.2637181332236842,0.5823329799406529,0.15357176638453415,0.0563199193952115,0.11318359375,0,0.0,0,0.010936749324671263,0.1743763498177654,0.11649287461156124,0.030363270795266885,0.3440476972566409,0.011878452707376135,51309,0.6748523650821493,0.036434907691651267,0.34404769747665054,194560,760,0.4215179346501827,0.8121659128289473,40,1.0
127,2,0.09289000931839357,0.9240240480782129,1.0,0.6457493832236842,0.9093504378396675,0.5872124843691525,0.08530660303505627,0.2473427220394737,0.5874564451432432,0.14530307622136254,0.05273721658036505,0.1069078947368421,0,0.0,0,0.010838788865964346,0.16974887667517913,0.11950205154716968,0.02960325356768934,0.33865432564645553,0.008961354990453018,48123,0.6716538869147809,0.03660525134029357,0.3386543259808892,194560,760,0.4176339914532084,0.8011975740131579,40,1.0
128,2,0.09212631525829919,0.9414737964294635,1.0,0.6195620888157894,0.9075822872131422,0.5623035776379861,0.08497373294452891,0.2651572779605263,0.5954571520980181,0.15788979759243757,0.05756722202365237,0.11528063322368422,0,0.0,0,0.01106083960828408,0.1772548691614678,0.12105126664973795,0.027241661003545706,0.3467129131346959,0.010104276711660387,51589,0.6739227354668631,0.036329987566722066,0.3467129125014732,194560,760,0.4059740264752978,0.7755550986842106,40,1.0
129,2,0.09136074310474071,0.9567727288213005,1.0,0.6338918585526315,0.9150560639929735,0.5800465890843617,0.07738977472518424,0.2574681332236842,0.5895116910092394,0.1517804745976862,0.057167553721534974,0.1086400082236842,0,0.0,0,0.010880027895894416,0.1761595398873875,0.12232863564093253,0.02740980040282011,0.3486302533951177,0.011852249568083176,50093,0.6609705946938694,0.03634607273301012,0.3486302537549483,194560,760,0.42753377131333475,0.802893708881579,40,1.0
130,2,0.09059337681133195,0.9698463103929543,1.0,0.6210834703947369,0.9088350737761176,0.5644624416373278,0.0764185131126157,0.26370785361842103,0.5770122092865958,0.15216265122259134,0.05723864242042366,0.1152086759868421,0,0.0,0,0.0143459063810664,0.17489775991753528,0.12408324917778372,0.03090749861182351,0.35427489357645087,0.010040479488241928,51307,0.642037148927047,0.03589095344374839,0.35427489404223467,194560,760,0.4387342642208463,0.8341796875,40,1.0
131,2,0.08982430052843443,0.9806308479691593,1.0,0.6267064144736842,0.903596415590263,0.5662896697458468,0.09237790286026307,0.26284950657894735,0.5799357885861238,0.1524358358773354,0.05894258974156784,0.11044407894736842,0,0.0,0,0.010845350783309091,0.16566385911091377,0.11515767916938977,0.028313480464643555,0.3299999484446935,0.010019578916437335,51140,0.6922174423152131,0.036579225923081764,0.3299999477831941,194560,760,0.42458685650245137,0.8098941200657894,40,1.0
132,2,0.08905359859392936,0.989073800366903,1.0,0.631640625,0.9113960901213256,0.5756747959867904,0.08363633631164895,0.25716488486842104,0.585858814625897,0.1506623146124184,0.05788073730655015,0.11119449013157895,0,0.0,0,0.009176362463193456,0.16834915824430555,0.11593609785563068,0.027810201295896578,0.33085120797436074,0.009579388115334472,50034,0.6652876044289883,0.03658140203670451,0.33085120779119037,194560,760,0.41578110589792855,0.7835115131578947,40,1.0
133,2,0.08828135552396875,0.9951340343707852,1.0,0.6402754934210526,0.9079153276311254,0.5813159343835554,0.07014894364708055,0.25406044407894735,0.5781932047690165,0.14689602236704608,0.05423405674090119,0.1056640625,0,0.0,0,0.009870171294345422,0.1712692706600616,0.116368172533418,0.028373866169468354,0.3354088007044476,0.009527320047154238,49430,0.6492413514060287,0.03626572503953388,0.3354087997620043,194560,760,0.4265457473891346,0.8067280016447368,40,1.0
134,2,0.08750765600370766,0.9987820251299121,1.0,0.6328844572368421,0.9125186741658977,0.577518885817967,0.07490811869808424,0.2559056332236842,0.5889512384459072,0.15071593961237292,0.055160658277179066,0.11120990953947368,0,0.0,0,0.010896751716791187,0.1743072082631682,0.1215306122003025,0.028829342987584446,0.34529696588451964,0.00973305071667327,49789,0.6340958846331519,0.03620839351788163,0.3452969659904116,194560,760,0.4140988015422696,0.7807462993421053,40,1.0
135,2,0.08673258487801729,1.0,1.0,0.6448858963815789,0.900670610565934,0.5808297740393563,0.0747708373525376,0.2506270559210526,0.5722298226087197,0.1434162757506496,0.05461788423310377,0.10448704769736843,0,0.0,0,0.008865230911454235,0.16594370394749078,0.11449687169423621,0.028288509465361898,0.3260230182732247,0.008428702254681604,48762,0.6324802099995899,0.036310526351199336,0.32602301939929784,194560,760,0.4322380461583012,0.8134508634868421,40,1.0
136,3,0.08595622714218089,1.0,1.0,0.6329255756578948,0.9006621038653705,0.5700520805622402,0.0879440165296393,0.2542917351973684,0.5698761620890197,0.14491479810523358,0.05968016627256906,0.11278268914473684,0,0.0,0,0.01125740116557082,0.17409213175506968,0.11662289421809346,0.02800653579595842,0.3397714420966497,0.009792479161957376,49475,0.6327438100050531,0.036265070496225044,0.33977144254665625,194560,760,0.44510416943383846,0.8489103618421052,40,1.0
137,3,0.08517866793257282,1.0,1.0,0.6041272615131579,0.896203684824471,0.5414210778710089,0.08644578082511496,0.27496916118421055,0.571452165265864,0.15713172254005545,0.058602806636573454,0.12090357730263158,0,0.0,0,0.009009909694692684,0.17752348574760712,0.11812590334662482,0.027488690800964832,0.3442776152814316,0.012129625691542108,53498,0.6793524991588471,0.03616885795797172,0.344277614943291,194560,760,0.4277284690424016,0.8123920641447369,40,1.0
138,3,0.08439999251732279,1.0,1.0,0.6513928865131579,0.9039753006107263,0.5888430804014206,0.07778199969815384,0.24575966282894737,0.5705267876769962,0.14021247097438103,0.052872567191278856,0.10284745065789473,0,0.0,0,0.012680120795228409,0.17103935463452025,0.11961782703568277,0.030474586918165812,0.3425858302593559,0.008773940875758663,47815,0.6336714420161037,0.03618887993752172,0.342585830233599,194560,760,0.43841932645361675,0.8421669407894737,40,1.0
139,3,0.083620286286965,1.0,1.0,0.6513260690789474,0.9138129638550501,0.5951902056210919,0.06960736814285874,0.24167351973684212,0.5715953299564182,0.1381394552557092,0.051101266750208055,0.10700041118421053,0,0.0,0,0.01065823483341343,0.16815957181939953,0.10834919191455762,0.029393063742471373,0.3268565737666167,0.010296511456774744,47020,0.6676945980433858,0.03627780199443039,0.3268565739455976,194560,760,0.439185970198167,0.8422080592105263,40,1.0
140,3,0.08283963474507404,1.0,1.0,0.6740439967105263,0.9069841329067256,0.6113472098974805,0.06591981528234962,0.2263414884868421,0.5640135302780668,0.1276596619698562,0.04572022329513474,0.09961451480263157,0,0.0,0,0.008541483950370764,0.15991881251041043,0.10836022050659123,0.02710181749180744,0.3125803177372482,0.008657983278068345,44037,0.6203646933260667,0.03618882001426659,0.3125803178274318,194560,760,0.4467351172119379,0.8328433388157894,40,1.0
141,3,0.08205812349888861,1.0,1.0,0.6361122532894737,0.9083257569047835,0.5777971439455685,0.07141442349621732,0.25348478618421055,0.5808470548419913,0.14723589150235056,0.053957319909118506,0.11040296052631579,0,0.0,0,0.008717638258109985,0.17018171872355436,0.11429069709817045,0.026557079969268094,0.33065292576802,0.010905791718917163,49318,0.6583397542479419,0.03636967683897207,0.33065292574465277,194560,760,0.4179073003757941,0.7941663240131579,40,1.0
142,3,0.08127583824992367,1.0,1.0,0.6523180509868421,0.8968288624666593,0.5850176556329978,0.07650347014055832,0.24498869243421054,0.5627371721198673,0.13786424398177155,0.0535533720523266,0.10269325657894737,0,0.0,0,0.009289935526038262,0.1719619090423772,0.11075918794070419,0.028503461505629515,0.3306469530367681,0.010132459022018961,47665,0.662897304101542,0.03632529576456076,0.3306469520848048,194560,760,0.44422308888874557,0.8454512746710526,40,1.0
