round,client,pred_class,geometry_group,a_visits,a_correct,old_weight,new_weight,old_wrong_weight,new_wrong_weight,calibrated_visits
196,1,0,unknown,29.0,0.0,29.0,29.0,29.0,29.0,0.0
196,1,1,neutral,62.0,62.0,60.585216999053955,62.0,0.0,0.0,60.0
196,1,1,distance,116.0,108.0,92.89242643117905,114.67260032892227,4.36436140537262,7.683545470237732,109.0
196,1,2,neutral,2271.0,2204.0,2249.614293038845,2271.0,64.72780102491379,67.0,2258.0
196,1,2,distance,1489.0,1298.0,1020.3592204451561,1452.481985926628,120.69489765167236,184.12582403421402,1305.0
196,1,3,neutral,1912.0,1705.0,1879.5454939603806,1912.0,203.0398541688919,207.0,1830.0
196,1,3,distance,685.0,529.0,491.51533353328705,669.5336554646492,110.32551681995392,151.6666144132614,525.0
196,1,4,neutral,1381.0,1362.0,1343.9808413386345,1381.0,18.19201385974884,19.0,1370.0
196,1,4,distance,1221.0,1127.0,854.607216835022,1198.1341210007668,62.794250190258026,91.66448426246643,1095.0
196,1,5,neutral,2652.0,2525.0,2588.295246064663,2652.0,123.50821036100388,127.0,2621.0
196,1,5,distance,910.0,704.0,587.9035091400146,884.4243392944336,122.28209954500198,198.16290545463562,614.0
196,1,6,neutral,174.0,129.0,171.30695807933807,174.0,44.133643090724945,45.0,158.0
196,1,6,distance,373.0,53.0,246.399367749691,363.18657356500626,204.225424349308,310.6558819413185,293.0
196,1,7,neutral,3079.0,2999.0,3062.1065833568573,3079.0,76.463572204113,80.0,3068.0
196,1,7,distance,965.0,834.0,700.1627407073975,941.1413906216621,87.38654494285583,126.53862857818604,820.0
196,1,8,unknown,13.0,0.0,13.0,13.0,13.0,13.0,0.0
196,1,9,unknown,4.0,0.0,4.0,4.0,4.0,4.0,0.0
196,4,0,neutral,2363.0,2331.0,2339.275703191757,2363.0,31.327268242836,32.0,2354.0
196,4,0,distance,701.0,654.0,535.8628705143929,687.7726040482521,34.02741277217865,45.68585824966431,596.0
196,4,1,unknown,4.0,0.0,4.0,4.0,4.0,4.0,0.0
196,4,2,neutral,2208.0,2085.0,2169.9621785879135,2208.0,119.08132207393646,123.0,2183.0
196,4,2,distance,658.0,523.0,465.71718311309814,640.3563795685768,89.6846210360527,130.20605957508087,457.0
196,4,2,conflict,1.0,1.0,0.4497404098510742,0.8181318640708923,0.0,0.0,0.0
196,4,3,unknown,199.0,25.0,199.0,199.0,174.0,174.0,0.0
196,4,4,unknown,978.0,969.0,978.0,978.0,9.0,9.0,0.0
196,4,5,unknown,1230.0,1223.0,1230.0,1230.0,7.0,7.0,0.0
196,4,6,neutral,1090.0,443.0,1067.5859371423721,1090.0,627.1312122941017,647.0,1056.0
196,4,6,distance,1558.0,112.0,948.035417497158,1495.4716003537178,861.0625886321068,1385.1484565138817,1021.0
196,4,7,neutral,1390.0,1303.0,1354.6394508481026,1390.0,82.97711223363876,87.0,1385.0
196,4,7,distance,671.0,505.0,459.93132370710373,657.7114679217339,111.62706112861633,161.25573486089706,586.0
196,4,8,neutral,2147.0,2032.0,2097.293804228306,2147.0,99.8534683585167,115.0,2144.0
196,4,8,distance,958.0,568.0,593.5221061110497,928.3287360072136,209.45054644346237,372.39658802747726,711.0
196,4,9,neutral,209.0,203.0,207.49883592128754,209.0,6.0,6.0,209.0
196,4,9,distance,160.0,55.0,105.20226591825485,154.86991983652115,61.50260502099991,100.50865399837494,107.0
196,5,0,neutral,50.0,39.0,48.37551987171173,50.0,10.151313841342926,11.0,46.0
196,5,0,distance,147.0,15.0,124.23666763305664,145.07237446308136,110.66800707578659,130.1364981532097,107.0
196,5,1,neutral,3151.0,3119.0,3052.0297780632973,3151.0,23.086688935756683,32.0,3143.0
196,5,1,distance,701.0,641.0,498.71466159820557,689.9376039505005,36.5276460647583,58.54736369848251,627.0
196,5,2,unknown,33.0,17.0,33.0,33.0,16.0,16.0,0.0
196,5,3,neutral,2345.0,2256.0,2307.3058243989944,2345.0,88.08056080341339,89.0,2315.0
196,5,3,distance,1045.0,778.0,703.0577599406242,1010.153690636158,175.22802317142487,255.30829524993896,651.0
196,5,4,neutral,995.0,480.0,984.0156874656677,995.0,510.114610016346,515.0,967.0
196,5,4,distance,1082.0,61.0,724.0754400491714,1047.3529376387596,681.0800966024399,987.6522499918938,773.0
196,5,5,neutral,512.0,341.0,504.44412928819656,512.0,164.6597539782524,171.0,499.0
196,5,5,distance,534.0,44.0,346.48093980550766,515.8624851107597,310.593814432621,472.31851452589035,337.0
196,5,6,unknown,449.0,448.0,449.0,449.0,1.0,1.0,0.0
196,5,7,neutral,1368.0,1366.0,1363.4180188179016,1368.0,2.0,2.0,1363.0
196,5,7,distance,427.0,397.0,348.7628091573715,421.11463302373886,19.895607113838196,28.98474556207657,403.0
196,5,8,unknown,1434.0,1415.0,1434.0,1434.0,19.0,19.0,0.0
196,5,9,neutral,2596.0,2584.0,2520.008631527424,2596.0,9.237326383590698,12.0,2571.0
196,5,9,distance,1166.0,1126.0,867.4022977352142,1147.3803656101227,24.949271321296692,38.907148480415344,1071.0
196,16,0,neutral,2708.0,2304.0,2695.6417108774185,2708.0,400.8271580338478,404.0,2703.0
196,16,0,distance,688.0,408.0,511.5043456554413,670.5481259226799,203.2938541173935,271.826906144619,521.0
196,16,1,neutral,408.0,361.0,404.63714426755905,408.0,46.04579550027847,47.0,399.0
196,16,1,distance,137.0,43.0,102.71857583522797,133.91119521856308,67.40111392736435,91.30417376756668,101.0
196,16,2,unknown,578.0,564.0,578.0,578.0,14.0,14.0,0.0
