round,phase,acc,lr,ramp,loss,L_sup,L_A,L_B,L_proto,L_feature,a_ratio,a_prec,b_ratio,b_prec,c_ratio,c_prec,a_wrong_weight,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,global_valid_classes,global_prototypes,prototype_upload_bytes,update_norm_mean,clip_fraction,clip_cap,seconds,steps,u_visits,best_acc,best_round
20,main,0.5629,0.14836107005503543,0.2,0.2665461674234585,0.12328895229515374,0.015517321813661654,0.09480704016199237,0.03208801814502007,0.0008448336913716048,0.11565583881578947,0.7474891120789263,0.6183028371710526,0.4809097483727774,0.2660413240131579,0.27418326539286336,0.005840871710526317,0.05836284556671193,1.0,0.7912955370388532,0.45658408717105264,0.4567434210526316,0.0008018092105263158,0.0006424753289473685,0.01432182428696634,10,30,247120,7.60423440269658,0.0,19.292354461258935,134.80747485160828,760,194560.0,0.6147,19
21,main,0.619,0.14819375714540606,0.22,0.2501016478887514,0.107324492133921,0.011936083652778363,0.09575425259474861,0.03416629820620935,0.0009205218844152497,0.08211348684210526,0.7888708062093139,0.6306897615131579,0.5303446421149568,0.28719675164473685,0.3017520625659932,0.0038140419407894735,0.06725721506303863,1.0,0.8381825758438362,0.4855982730263158,0.4859220805921053,0.0010844983552631578,0.0007606907894736842,0.01442486166120752,10,30,247120,7.361900768939987,0.0,18.858666204511128,135.88218188285828,760,194560.0,0.619,21
22,main,0.5474,0.14801841771548702,0.24,0.245920970457557,0.09071999544087847,0.012286053390543155,0.10553411938936302,0.036404609827226715,0.0009761922942983036,0.07875205592105264,0.8619631901840491,0.6442074424342106,0.5529891412751222,0.27704050164473687,0.3003840374019035,0.002608963815789474,0.07134100317856983,1.0,0.8270820797273987,0.5067639802631579,0.5073396381578947,0.001274671052631579,0.0006990131578947368,0.015310738537166463,10,30,247120,6.8558696035673075,0.0,18.505191131131653,135.67565655708313,760,194560.0,0.619,21
23,main,0.5893,0.1478350709932227,0.26,0.25977552148856614,0.09832305318436978,0.006699381605607127,0.11408369326473851,0.03962603014844813,0.001043363125140068,0.03813219572368421,0.7902682302197062,0.6854389391447369,0.520512301381984,0.27642886513157894,0.2919378230634785,0.002079358552631579,0.0781061027002962,1.0,0.840417357259675,0.4673571134868421,0.46761410361842104,0.0009919819078947369,0.0007349917763157895,0.015596971747857567,10,30,247120,7.448699114868784,0.0,17.998861357343177,136.2108817100525,760,194560.0,0.619,21
24,main,0.599,0.14764373708464731,0.28,0.23749102941273073,0.07849986328380366,0.002241586229616874,0.11589005281658549,0.039754403421753334,0.0011051243997491455,0.012890625,0.9485645933014354,0.7301655016447368,0.6151934732262901,0.25694387335526314,0.3180172431037587,0.00018564967105263167,0.09384340229199122,1.0,0.8310372165943447,0.5426860608552632,0.5431332236842106,0.0016293174342105264,0.0011821546052631579,0.0163956192003465,10,30,247120,6.784666963760752,0.0,17.703398536154626,138.35060715675354,760,194560.0,0.619,21
25,main,0.6117,0.1474444369716801,0.3,0.26969263767333407,0.10933333364909661,0.004295632254989438,0.11242538434698393,0.042328352309567364,0.001309936277500942,0.025858347039473685,0.911548399920493,0.6802374588815789,0.5965832244025177,0.29390419407894736,0.3111993284600049,0.0006861636513157894,0.09174974313692043,1.0,0.8791313741552202,0.5191714638157895,0.5208521792763158,0.0023283305921052632,0.0006476151315789473,0.017782525897124098,10,30,247120,7.831875914317799,0.0,17.28668020330093,135.68832921981812,760,194560.0,0.619,21
26,main,0.6409,0.14723719250982437,0.32,0.24279318959697296,0.06965450456107072,0.001393119726516919,0.12633739475552974,0.04399639244534467,0.0014117783826996426,0.006799958881578947,0.9886621315192744,0.7177374588815789,0.6050142148192176,0.2754625822368421,0.30820614247863565,2.4671052631578947e-05,0.10287859368285066,1.0,0.8719528788798734,0.525133634868421,0.5258634868421053,0.001773231907894737,0.0010433799342105263,0.020034164744184204,10,30,247120,6.566382225072658,0.0,17.25792877679228,137.0888237953186,760,194560.0,0.6409,26
27,main,0.584,0.14702202642577072,0.34,0.24887141583389358,0.07429467355296335,0.00018676601363327598,0.12513617868290136,0.04766669281709351,0.0015871056020076043,0.0013517680921052632,1.0,0.7100123355263158,0.6017590849862459,0.28863589638157894,0.30325694036362344,0.0,0.1119320004002044,1.0,0.9131988683813497,0.5160670230263158,0.5161389802631579,0.0017012746710526317,0.0016293174342105264,0.02216164174391643,10,30,247120,7.125744761889501,0.0,16.875682576616384,135.4425995349884,760,194560.0,0.6409,26
28,main,0.5827,0.14679896231490502,0.36,0.2560961045913006,0.0758923483025252,0.00011538214825314323,0.12924928623986873,0.0490140061482395,0.0018250819713820851,0.0005037006578947369,1.0,0.7034590871710527,0.6426990099733314,0.2960372121710526,0.33010399847214267,0.0,0.12023092687718179,1.0,0.9235210097149799,0.5498149671052631,0.5503392269736842,0.0022152549342105265,0.0016909950657894737,0.024761241478355307,10,30,247120,7.217611233222933,0.0,16.638027288430106,133.76204419136047,760,194560.0,0.6409,26
29,main,0.5054,0.14656802463872076,0.38,0.2796313071525411,0.0941730358661612,9.154613056269131e-05,0.13160006007865854,0.051649705207857645,0.0021169603744056074,0.00048314144736842104,0.8829787234042553,0.6941611842105263,0.6456951190617225,0.30535567434210525,0.3267126746339,2.1484375e-05,0.12099299373007134,1.0,0.9377673049506389,0.5475740131578948,0.5484066611842106,0.0022101151315789473,0.0013774671052631578,0.02552057015709579,10,28,247120,7.722034306511025,0.0,16.432829332713347,136.35649371147156,760,194560.0,0.6409,26
