round,client,fedavg_weight,L_sup,L_A,L_B,L_proto,L_feature,loss,a_count,b_count,c_count,a_correct,b_correct,c_correct,a_wrong_weight,u_visits,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,steps
7,15,0.125,79.00221030414104,0.0,0.0,0.0,0.0,79.00221030414104,9.0,6928.0,17383.0,1.0,1306.0,2241.0,0.0,24320.0,0.0,0.0,31143.1796875,3548.0,3548.0,0.0,0.0,3.3029861748218536,95
7,14,0.125,17.49032572377473,0.0,0.0,0.0,0.0,17.49032572377473,601.0,9753.0,13966.0,421.0,3196.0,2919.0,0.0,24320.0,0.0,0.0,29403.925231933594,6536.0,6536.0,0.0,0.0,3.0621012337505817,95
7,5,0.125,56.9780802950263,0.0,0.0,0.0,0.0,56.9780802950263,2.0,6668.0,17650.0,1.0,759.0,2125.0,0.0,24320.0,0.0,0.0,33072.22717285156,2885.0,2885.0,0.0,0.0,3.298331670463085,95
8,2,0.125,38.8585518784821,0.0,0.0,0.0,0.0,38.8585518784821,1138.0,9833.0,13349.0,265.0,2230.0,2299.0,0.0,24320.0,0.0,0.0,26925.46385192871,4794.0,4794.0,0.0,0.0,3.2383877858519554,95
8,13,0.125,32.888736836612225,0.0,0.0,0.0,0.0,32.888736836612225,342.0,8831.0,15147.0,166.0,1609.0,2344.0,0.0,24320.0,0.0,0.0,30377.097686767578,4119.0,4119.0,0.0,0.0,3.400494769215584,95
8,11,0.125,45.48506112396717,0.0,0.0,0.0,0.0,45.48506112396717,672.0,8051.0,15597.0,440.0,2887.0,3351.0,0.0,24320.0,0.0,0.0,32053.09896850586,6678.0,6678.0,0.0,0.0,3.098151635378599,95
8,0,0.125,42.053949166089296,0.0,0.0,0.0,0.0,42.053949166089296,1054.0,7518.0,15748.0,1006.0,4934.0,4828.0,0.0,24320.0,0.0,0.0,33065.10577392578,10768.0,10768.0,0.0,0.0,3.32076957449317,95
8,3,0.125,20.502974527888,0.0,0.0,0.0,0.0,20.502974527888,1275.0,8727.0,14318.0,660.0,2614.0,2709.0,0.0,24320.0,0.0,0.0,28001.812377929688,5983.0,5983.0,0.0,0.0,3.1250404603779316,95
8,10,0.125,42.22786498814821,0.0,0.0,0.0,0.0,42.22786498814821,477.0,10006.0,13837.0,412.0,4316.0,4081.0,0.0,24320.0,0.0,0.0,29251.80030822754,8809.0,8809.0,0.0,0.0,3.30977276712656,95
8,19,0.125,45.85451481491327,0.0,0.0,0.0,0.0,45.85451481491327,286.0,7404.0,16630.0,201.0,2979.0,3529.0,0.0,24320.0,0.0,0.0,32101.894485473633,6709.0,6709.0,0.0,0.0,3.2058164216578007,95
8,1,0.125,37.33116931095719,0.0,0.0,0.0,0.0,37.33116931095719,329.0,7547.0,16444.0,272.0,4059.0,4777.0,0.0,24320.0,0.0,0.0,31687.364624023438,9108.0,9108.0,0.0,0.0,3.3440388217568398,95
9,15,0.125,47.954935509711504,0.0,0.0,0.0,0.0,47.954935509711504,332.0,9467.0,14521.0,138.0,3163.0,2648.0,0.0,24320.0,0.0,0.0,28011.155807495117,5949.0,5949.0,0.0,0.0,3.2173653207719326,95
9,17,0.125,26.114216836169362,0.0,0.0,0.0,0.0,26.114216836169362,294.0,6110.0,17916.0,92.0,1851.0,3296.0,0.0,24320.0,0.0,0.0,34279.81021118164,5239.0,5239.0,0.0,0.0,3.1883515007793903,95
9,11,0.125,20.983059653081,0.0,0.0,0.0,0.0,20.983059653081,2023.0,10154.0,12143.0,1583.0,4403.0,3102.0,0.0,24320.0,0.0,0.0,25485.63052368164,9088.0,9088.0,0.0,0.0,3.1341088823974133,95
9,16,0.125,38.22854731976986,0.0,0.0,0.0,0.0,38.22854731976986,3116.0,10189.0,11015.0,1321.0,2172.0,1671.0,0.0,24320.0,0.0,0.0,25663.302703857422,5164.0,5164.0,0.0,0.0,3.233834434300661,95
9,1,0.125,28.068397134542465,0.0,0.0,0.0,0.0,28.068397134542465,1623.0,9908.0,12789.0,951.0,4577.0,3865.0,0.0,24320.0,0.0,0.0,27320.430923461914,9393.0,9393.0,0.0,0.0,3.288083966821432,95
9,18,0.125,33.63956440426409,0.0,0.0,0.0,0.0,33.63956440426409,922.0,8867.0,14531.0,544.0,2436.0,2846.0,0.0,24320.0,0.0,0.0,29686.46174621582,5826.0,5826.0,0.0,0.0,3.1416744105517864,95
9,8,0.125,31.00609439611435,0.0,0.0,0.0,0.0,31.00609439611435,917.0,12296.0,11107.0,319.0,2305.0,1330.0,0.0,24320.0,0.0,0.0,24765.503829956055,3954.0,3954.0,0.0,0.0,3.250361181795597,95
9,3,0.125,21.97671556659043,0.0,0.0,0.0,0.0,21.97671556659043,2060.0,11619.0,10641.0,1034.0,2757.0,2185.0,0.0,24320.0,0.0,0.0,23867.3009185791,5976.0,5976.0,0.0,0.0,3.2283919975161552,95
10,16,0.125,32.886687230318785,0.0,0.0,0.0,0.0,32.886687230318785,1852.0,10480.0,11988.0,937.0,4004.0,2612.0,0.0,24320.0,0.0,0.0,25424.478073120117,7553.0,7553.0,0.0,0.0,3.21630747243762,95
10,4,0.125,40.862019423395395,0.0,0.0,0.0,0.0,40.862019423395395,1851.0,12799.0,9670.0,454.0,3292.0,1882.0,0.0,24320.0,0.0,0.0,21444.152839660645,5628.0,5628.0,0.0,0.0,3.346961870789528,95
10,12,0.125,46.51346857100725,0.0,0.0,0.0,0.0,46.51346857100725,630.0,11330.0,12360.0,308.0,5251.0,2945.0,0.0,24320.0,0.0,0.0,26401.083770751953,8504.0,8504.0,0.0,0.0,3.244356371462345,95
10,11,0.125,35.56218667328358,0.0,0.0,0.0,0.0,35.56218667328358,1995.0,10695.0,11630.0,1639.0,4965.0,3232.0,0.0,24320.0,0.0,0.0,26018.958877563477,9836.0,9836.0,0.0,0.0,3.2575449608266354,95
10,8,0.125,15.849251488223672,0.0,0.0,0.0,0.0,15.849251488223672,3471.0,10638.0,10211.0,1181.0,3206.0,2317.0,0.0,24320.0,0.0,0.0,22433.67642211914,6704.0,6704.0,0.0,0.0,3.165955502539873,95
10,18,0.125,21.398855147883296,0.0,0.0,0.0,0.0,21.398855147883296,3882.0,11558.0,8880.0,2354.0,4548.0,2128.0,0.0,24320.0,0.0,0.0,20643.49334716797,9030.0,9030.0,0.0,0.0,3.126895558089018,95
10,1,0.125,26.63214724883437,0.0,0.0,0.0,0.0,26.63214724883437,1514.0,13953.0,8853.0,1053.0,5607.0,2190.0,0.0,24320.0,0.0,0.0,20462.14176940918,8850.0,8850.0,0.0,0.0,3.343809552490711,95
10,3,0.125,14.740493203978986,0.0,0.0,0.0,0.0,14.740493203978986,2637.0,13301.0,8382.0,1147.0,3679.0,2062.0,0.0,24320.0,0.0,0.0,20111.417541503906,6888.0,6888.0,0.0,0.0,3.1391172371804714,95
11,6,0.125,34.2559051848948,0.2043355028336009,1.6588013106957078,0.34778700885362923,0.12558794592041522,36.59241721779108,1940.0,10540.0,11840.0,1473.0,4631.0,2997.0,9.339999999999998,24320.0,113.96071374416351,24320.0,25807.08985900879,9097.0,9101.0,5.0,1.0,2.3508830424398184,95
11,17,0.125,22.57069204747677,0.0950152451005124,1.5870187697000802,0.3404464218765497,0.12857989568146877,24.72175218909979,1028.0,9877.0,13415.0,440.0,3919.0,3617.0,11.760000000000003,24320.0,144.29376709461212,24320.0,27405.207641601562,7981.0,7976.0,3.0,8.0,2.2690826896578074,95
11,5,0.125,41.01030137389898,0.13925836677117331,1.5877454769797623,0.35778334364295006,0.12993498798459768,43.22502338141203,1054.0,11079.0,12187.0,859.0,3378.0,2556.0,3.9000000000000026,24320.0,116.99517107009888,24320.0,24455.488647460938,6794.0,6793.0,0.0,1.0,2.342795705422759,95
11,2,0.125,29.7353189047426,0.09153630031869397,1.7409629821777344,0.3503100804518908,0.11837152022053488,32.03649938479066,906.0,12066.0,11348.0,268.0,3181.0,2024.0,12.760000000000005,24320.0,112.14191448688507,24320.0,23811.830459594727,5474.0,5473.0,0.0,1.0,2.2865238580852747,95
11,3,0.125,9.518254133872688,0.4197547665098682,1.9199413666501641,0.3332415933255106,0.11001569734071381,12.301207518205047,4177.0,12882.0,7261.0,2716.0,5901.0,1991.0,29.220000000000006,24320.0,145.63876843452454,24320.0,17518.623825073242,10609.0,10608.0,3.0,4.0,2.314119588583708,95
11,9,0.125,28.13197315298021,0.1923213049349215,2.273473173379898,0.34316985914483666,0.11380770028335974,31.054745331406593,2045.0,14480.0,7795.0,801.0,3839.0,1749.0,24.880000000000006,24320.0,140.11456072330475,24320.0,19046.086624145508,6387.0,6389.0,2.0,0.0,2.40694641508162,95
11,12,0.125,19.16878750640899,0.30767298881710303,2.914698570035398,0.33416031766682863,0.10966607893351465,22.834985554218292,2612.0,12951.0,8757.0,1558.0,3806.0,1877.0,21.079999999999995,24320.0,108.24570727348328,24320.0,20314.880249023438,7241.0,7241.0,1.0,1.0,2.2993115559220314,95
11,16,0.125,20.271441897377372,0.5480966942268424,2.020598279312253,0.3450068784877658,0.10804675659164786,23.29319054633379,4612.0,11650.0,8058.0,1816.0,3146.0,1682.0,55.92000000000001,24320.0,145.65238749980927,24320.0,19324.00437927246,6643.0,6644.0,3.0,2.0,2.4648555275052786,95
12,6,0.125,19.280861355364323,0.5557363927364349,3.4694975204765797,0.6895363382063806,0.060489191266242415,24.056121103465557,3190.0,11663.0,9467.0,2473.0,4193.0,2130.0,28.680000000000003,24320.0,251.71439337730408,24320.0,21430.156127929688,8797.0,8796.0,1.0,2.0,1.9235110767185688,95
12,4,0.125,21.697263341397047,0.38412774457538035,4.3257078137248755,0.6712641902267933,0.06523022596957162,27.143592804670334,2291.0,13424.0,8605.0,993.0,4722.0,1976.0,51.92000000000001,24320.0,274.0794415473938,24320.0,20741.961029052734,7691.0,7691.0,7.0,7.0,1.903716066852212,95
12,10,0.125,33.45710729807615,0.5442314895699383,3.673646751791239,0.7134751616977155,0.0591163593926467,38.44757700711489,2861.0,12671.0,8788.0,2578.0,6339.0,2590.0,11.320000000000002,24320.0,227.25998044013977,24320.0,20750.721992492676,11503.0,11507.0,4.0,0.0,2.0274871084839106,95
12,1,0.125,16.981751604005694,0.35315882305985724,5.02181158028543,0.7263992754742503,0.062442551978165284,23.145563781261444,1740.0,12971.0,9609.0,1246.0,4822.0,2310.0,19.759999999999994,24320.0,213.31244325637817,24320.0,22268.77702331543,8369.0,8378.0,9.0,0.0,1.9727437049150467,95
12,14,0.125,13.740039273165166,0.27318701346302987,3.5119884088635445,0.6171424789354205,0.06692792239482515,18.20928529649973,1737.0,12790.0,9793.0,959.0,4547.0,2038.0,31.120000000000008,24320.0,258.9021329879761,24320.0,22184.14030456543,7538.0,7544.0,8.0,2.0,1.8770966697484255,95
12,5,0.125,19.44584740884602,0.1439911736306385,4.1202744748443365,0.6886519500985742,0.0598972121370025,24.458662554621696,866.0,16227.0,7227.0,663.0,6310.0,1534.0,8.120000000000005,24320.0,265.08170318603516,24320.0,17719.51725769043,8503.0,8507.0,5.0,1.0,1.928434368222952,95
