2026-09-07 23:52:51,559 - INFO - run_id=20260907_235251 acc=./results/CIFAR10/PPFPSL_a0.1_20260907_235251.csv metrics=./results/CIFAR10/PPFPSL_a0.1_20260907_235251_metrics.csv ckpt=./results/CIFAR10/checkpoints/PPFPSL_a0.1_20260907_235251_latest.pt
2026-09-07 23:52:59,333 - INFO - [Schedule] adaptive=1 warmup=[0.15,0.40] geom=[0.12,0.35] target A-prec=0.9 A-ratio=0.22
2026-09-08 03:44:13,317 - INFO - Round 26/300 | Acc:0.3270 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1098 (sup:0.072 A:0.038 B:0.000 proto:1.930) | Route: A:26.95% B:0.00% C:73.05% | A-Prec:60.89% B-Prec:0.00% | rel r:0.886 m:0.000 alpha:1.000
2026-09-08 03:53:07,753 - INFO - Round 27/300 | Acc:0.3341 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1392 (sup:0.066 A:0.074 B:0.000 proto:1.919) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:49.28% B-Prec:0.00% | rel r:0.886 m:0.000 alpha:1.000
2026-09-08 04:02:00,564 - INFO - Round 28/300 | Acc:0.3205 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1577 (sup:0.083 A:0.074 B:0.000 proto:1.899) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:53.63% B-Prec:0.00% | rel r:0.889 m:0.000 alpha:1.000
2026-09-08 04:10:52,168 - INFO - Round 29/300 | Acc:0.3060 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1682 (sup:0.097 A:0.071 B:0.000 proto:1.941) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:42.16% B-Prec:0.00% | rel r:0.892 m:0.000 alpha:1.000
2026-09-08 04:19:45,533 - INFO - Round 30/300 | Acc:0.3113 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1659 (sup:0.096 A:0.069 B:0.000 proto:1.864) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:52.26% B-Prec:0.00% | rel r:0.895 m:0.000 alpha:1.000
2026-09-08 04:28:38,665 - INFO - Round 31/300 | Acc:0.2978 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1719 (sup:0.099 A:0.073 B:0.000 proto:1.843) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:41.70% B-Prec:0.00% | rel r:0.872 m:0.000 alpha:1.000
2026-09-08 04:37:30,994 - INFO - Round 32/300 | Acc:0.2923 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1881 (sup:0.108 A:0.080 B:0.000 proto:1.849) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:45.17% B-Prec:0.00% | rel r:0.894 m:0.000 alpha:1.000
2026-09-08 04:46:24,223 - INFO - Round 33/300 | Acc:0.2942 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1353 (sup:0.068 A:0.068 B:0.000 proto:1.842) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:51.27% B-Prec:0.00% | rel r:0.875 m:0.000 alpha:1.000
2026-09-08 04:55:16,704 - INFO - Round 34/300 | Acc:0.2931 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1026 (sup:0.066 A:0.037 B:0.000 proto:1.813) | Route: A:26.95% B:0.00% C:73.05% | A-Prec:50.24% B-Prec:0.00% | rel r:0.881 m:0.000 alpha:1.000
2026-09-08 05:04:10,191 - INFO - Round 35/300 | Acc:0.2795 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1045 (sup:0.047 A:0.058 B:0.000 proto:1.852) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:46.33% B-Prec:0.00% | rel r:0.887 m:0.000 alpha:1.000
2026-09-08 05:13:02,667 - INFO - Round 36/300 | Acc:0.2921 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1030 (sup:0.041 A:0.062 B:0.000 proto:1.785) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:38.62% B-Prec:0.00% | rel r:0.885 m:0.000 alpha:1.000
2026-09-08 05:21:56,640 - INFO - Round 37/300 | Acc:0.2896 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1188 (sup:0.055 A:0.063 B:0.000 proto:1.766) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:41.56% B-Prec:0.00% | rel r:0.883 m:0.000 alpha:1.000
2026-09-08 05:30:49,839 - INFO - Round 38/300 | Acc:0.2791 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1007 (sup:0.043 A:0.058 B:0.000 proto:1.833) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:44.83% B-Prec:0.00% | rel r:0.883 m:0.000 alpha:1.000
2026-09-08 05:39:42,020 - INFO - Round 39/300 | Acc:0.2924 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0896 (sup:0.037 A:0.053 B:0.000 proto:1.825) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:50.95% B-Prec:0.00% | rel r:0.883 m:0.000 alpha:1.000
2026-09-08 05:48:34,131 - INFO - Round 40/300 | Acc:0.2847 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0931 (sup:0.040 A:0.053 B:0.000 proto:1.862) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:46.15% B-Prec:0.00% | rel r:0.888 m:0.000 alpha:1.000
2026-09-08 05:57:26,114 - INFO - Round 41/300 | Acc:0.2958 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0968 (sup:0.042 A:0.054 B:0.000 proto:1.761) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:46.01% B-Prec:0.00% | rel r:0.888 m:0.000 alpha:1.000
2026-09-08 06:06:17,635 - INFO - Round 42/300 | Acc:0.2756 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1222 (sup:0.053 A:0.070 B:0.000 proto:1.782) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:39.62% B-Prec:0.00% | rel r:0.887 m:0.000 alpha:1.000
2026-09-08 06:15:09,010 - INFO - Round 43/300 | Acc:0.2876 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0856 (sup:0.050 A:0.036 B:0.000 proto:1.754) | Route: A:26.95% B:0.00% C:73.05% | A-Prec:42.94% B-Prec:0.00% | rel r:0.870 m:0.000 alpha:1.000
2026-09-08 06:24:00,794 - INFO - Round 44/300 | Acc:0.2768 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1116 (sup:0.051 A:0.061 B:0.000 proto:1.770) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:39.39% B-Prec:0.00% | rel r:0.897 m:0.000 alpha:1.000
2026-09-08 06:32:53,033 - INFO - Round 45/300 | Acc:0.2685 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1060 (sup:0.048 A:0.058 B:0.000 proto:1.705) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:45.33% B-Prec:0.00% | rel r:0.891 m:0.000 alpha:1.000
2026-09-08 06:41:45,351 - INFO - Round 46/300 | Acc:0.2720 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1005 (sup:0.045 A:0.055 B:0.000 proto:1.746) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:48.65% B-Prec:0.00% | rel r:0.894 m:0.000 alpha:1.000
2026-09-08 06:50:37,647 - INFO - Round 47/300 | Acc:0.2676 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1081 (sup:0.051 A:0.057 B:0.000 proto:1.738) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:48.77% B-Prec:0.00% | rel r:0.897 m:0.000 alpha:1.000
2026-09-08 06:59:30,956 - INFO - Round 48/300 | Acc:0.2718 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1007 (sup:0.045 A:0.056 B:0.000 proto:1.702) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:43.58% B-Prec:0.00% | rel r:0.879 m:0.000 alpha:1.000
2026-09-08 07:08:23,373 - INFO - Round 49/300 | Acc:0.2705 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1006 (sup:0.049 A:0.051 B:0.000 proto:1.742) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:38.72% B-Prec:0.00% | rel r:0.888 m:0.000 alpha:1.000
2026-09-08 07:17:14,927 - INFO - Round 50/300 | Acc:0.2656 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0874 (sup:0.037 A:0.050 B:0.000 proto:1.669) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:44.28% B-Prec:0.00% | rel r:0.887 m:0.000 alpha:1.000
2026-09-08 07:26:07,274 - INFO - Round 51/300 | Acc:0.2701 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0712 (sup:0.041 A:0.030 B:0.000 proto:1.704) | Route: A:26.95% B:0.00% C:73.05% | A-Prec:46.59% B-Prec:0.00% | rel r:0.883 m:0.000 alpha:1.000
2026-09-08 07:34:58,156 - INFO - Round 52/300 | Acc:0.2665 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0896 (sup:0.030 A:0.060 B:0.000 proto:1.688) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:41.21% B-Prec:0.00% | rel r:0.877 m:0.000 alpha:1.000
2026-09-08 07:43:50,291 - INFO - Round 53/300 | Acc:0.2802 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0872 (sup:0.032 A:0.055 B:0.000 proto:1.649) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:35.81% B-Prec:0.00% | rel r:0.879 m:0.000 alpha:1.000
2026-09-08 07:52:42,488 - INFO - Round 54/300 | Acc:0.2640 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0999 (sup:0.041 A:0.059 B:0.000 proto:1.666) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:36.84% B-Prec:0.00% | rel r:0.888 m:0.000 alpha:1.000
2026-09-08 08:01:34,155 - INFO - Round 55/300 | Acc:0.2699 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0751 (sup:0.034 A:0.041 B:0.000 proto:1.687) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:43.91% B-Prec:0.00% | rel r:0.899 m:0.000 alpha:1.000
2026-09-08 08:10:25,821 - INFO - Round 56/300 | Acc:0.2723 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0879 (sup:0.038 A:0.050 B:0.000 proto:1.641) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:41.03% B-Prec:0.00% | rel r:0.895 m:0.000 alpha:1.000
2026-09-08 08:19:17,607 - INFO - Round 57/300 | Acc:0.2662 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0808 (sup:0.029 A:0.052 B:0.000 proto:1.622) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:47.46% B-Prec:0.00% | rel r:0.888 m:0.000 alpha:1.000
2026-09-08 08:28:09,680 - INFO - Round 58/300 | Acc:0.2678 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0787 (sup:0.024 A:0.055 B:0.000 proto:1.652) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:50.01% B-Prec:0.00% | rel r:0.892 m:0.000 alpha:1.000
2026-09-08 08:37:01,654 - INFO - Round 59/300 | Acc:0.2769 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0879 (sup:0.031 A:0.057 B:0.000 proto:1.648) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:37.99% B-Prec:0.00% | rel r:0.880 m:0.000 alpha:1.000
2026-09-08 08:45:52,582 - INFO - Round 60/300 | Acc:0.2720 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0541 (sup:0.030 A:0.024 B:0.000 proto:1.653) | Route: A:26.95% B:0.00% C:73.05% | A-Prec:51.50% B-Prec:0.00% | rel r:0.900 m:0.000 alpha:1.000
2026-09-08 08:54:45,187 - INFO - Round 61/300 | Acc:0.2758 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0877 (sup:0.035 A:0.053 B:0.000 proto:1.627) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:38.22% B-Prec:0.00% | rel r:0.878 m:0.000 alpha:1.000
2026-09-08 09:03:36,575 - INFO - Round 62/300 | Acc:0.2665 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.0879 (sup:0.035 A:0.053 B:0.000 proto:1.616) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:43.81% B-Prec:0.00% | rel r:0.890 m:0.000 alpha:1.000
