round,client,epoch,cls,query_count,query_correct,own_distance_sum,margin_sum
140,8,5,0,26,26,2.0860650539398193,13.282142639160156
140,8,5,1,29,29,1.0258004665374756,19.06114387512207
140,8,5,2,11,11,0.7524884343147278,4.931241035461426
140,8,5,3,27,27,2.2437620162963867,12.446829795837402
140,8,5,4,19,19,1.3620569705963135,10.034109115600586
140,8,5,6,13,13,0.6354766488075256,6.342977523803711
140,0,1,0,28,28,2.960888624191284,12.295817375183105
140,0,1,1,19,19,1.0481421947479248,5.37484884262085
140,0,1,4,4,4,0.5343666672706604,1.164966106414795
140,0,1,6,14,14,1.1882848739624023,5.336900234222412
140,0,1,7,3,3,0.49332690238952637,0.6640366315841675
140,0,1,8,28,27,2.732863426208496,10.577802658081055
140,0,1,9,25,24,1.9044761657714844,5.014934062957764
140,0,2,0,28,28,2.1137282848358154,14.15257453918457
140,0,2,1,19,19,1.7235872745513916,7.626419544219971
140,0,2,4,4,4,0.5122898817062378,0.9950976967811584
140,0,2,6,14,14,0.8566462993621826,5.074545860290527
140,0,2,7,3,3,0.28856462240219116,1.2069976329803467
140,0,2,8,28,28,2.704291582107544,12.971956253051758
140,0,2,9,25,25,2.543698310852051,8.044459342956543
140,0,3,0,28,28,2.2600059509277344,15.352264404296875
140,0,3,1,19,19,1.4865920543670654,8.37977123260498
140,0,3,4,4,4,0.39488649368286133,1.5148813724517822
140,0,3,6,14,14,0.8149358034133911,5.67914342880249
140,0,3,7,3,3,0.29480063915252686,1.2936533689498901
140,0,3,8,28,28,1.7494029998779297,15.391855239868164
140,0,3,9,25,25,1.6225883960723877,9.542933464050293
140,0,4,0,28,28,1.682227611541748,17.119483947753906
140,0,4,1,19,19,1.3916057348251343,9.041622161865234
140,0,4,4,4,4,0.3430370092391968,1.4677650928497314
140,0,4,6,14,14,0.7996198534965515,5.617308139801025
140,0,4,7,3,3,0.23346048593521118,1.3373714685440063
140,0,4,8,28,28,1.6580352783203125,15.911588668823242
140,0,4,9,25,25,1.3893823623657227,11.538758277893066
140,0,5,0,28,28,1.5940656661987305,17.07129669189453
140,0,5,1,19,19,1.1251232624053955,9.123790740966797
140,0,5,4,4,4,0.4250448942184448,1.4799046516418457
140,0,5,6,14,14,0.7377715110778809,5.633380889892578
140,0,5,7,3,3,0.2919328808784485,1.3186081647872925
140,0,5,8,28,28,2.136831521987915,15.745491027832031
140,0,5,9,25,25,1.1651852130889893,11.480716705322266
140,11,1,0,26,26,2.8657796382904053,10.73956298828125
140,11,1,1,5,5,0.3287334442138672,1.22343111038208
140,11,1,3,9,9,0.9136439561843872,3.140416383743286
140,11,1,6,10,10,0.5885484218597412,4.467483043670654
140,11,1,7,26,25,2.5655016899108887,10.86520004272461
140,11,1,8,22,22,1.6901381015777588,8.296016693115234
140,11,1,9,24,24,1.4720449447631836,6.075417518615723
140,11,2,0,26,26,2.202033519744873,12.133966445922852
140,11,2,1,5,5,0.3617943525314331,1.2526501417160034
140,11,2,3,9,9,0.531430721282959,3.9912359714508057
140,11,2,6,10,10,0.5178995728492737,4.263405799865723
140,11,2,7,26,26,2.2179012298583984,12.097850799560547
140,11,2,8,22,22,1.5253751277923584,7.916115760803223
140,11,2,9,24,24,1.5844669342041016,7.670862674713135
140,11,3,0,26,26,1.4979777336120605,13.626028060913086
140,11,3,1,5,5,0.34327876567840576,1.4039181470870972
140,11,3,3,9,9,0.6723847389221191,3.8785862922668457
140,11,3,6,10,10,0.44258421659469604,4.940863609313965
140,11,3,7,26,26,1.953397274017334,14.146381378173828
140,11,3,8,22,22,1.3634755611419678,9.149833679199219
140,11,3,9,24,24,1.2949092388153076,8.886506080627441
140,11,4,0,26,26,1.4586455821990967,14.226872444152832
140,11,4,1,5,5,0.29798489809036255,1.5819649696350098
140,11,4,3,9,9,0.6714021563529968,4.514216899871826
140,11,4,6,10,10,0.5659412145614624,5.236632347106934
140,11,4,7,26,26,1.7896754741668701,14.23803997039795
140,11,4,8,22,22,1.2253456115722656,9.527481079101562
140,11,4,9,24,24,1.2724096775054932,9.199565887451172
140,11,5,0,26,26,1.972822666168213,13.929043769836426
140,11,5,1,5,5,0.3498627543449402,1.5235764980316162
140,11,5,3,9,9,0.6910876631736755,4.310912132263184
140,11,5,6,10,10,0.4187204837799072,5.443175792694092
140,11,5,7,26,26,1.4458203315734863,14.692243576049805
140,11,5,8,22,22,1.1291394233703613,9.795110702514648
140,11,5,9,24,24,1.163339376449585,9.33877944946289
140,1,1,1,5,5,0.2401089072227478,3.515631675720215
140,1,1,2,23,22,2.3861582279205322,8.196634292602539
