loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,round,acc,phase
0.5038049131631851,0.04176835485237748,0.3490824568624559,0.0,1.129541010762516,95.0,24320.0,14921.25,0.0,9398.75,8453.25,2987.5,14921.25,11933.75,14921.25,59,0.7504,1
0.46969228622160464,0.03786572824756149,0.31936454386695434,0.0,1.1246201336383819,95.0,24320.0,15660.125,0.0,8659.875,8241.75,3277.625,15660.125,12382.5,15660.125,60,0.7288,1
0.6745630559168364,0.04538718597124037,0.22048745646484585,0.5918647758270564,1.1275602441869284,95.0,24320.0,9409.75,12591.125,2319.125,8318.25,2734.875,14408.0,8200.5,9409.75,61,0.7463,2
0.6637892423883864,0.040273667998783486,0.2234475952131968,0.5799613835780244,1.1008728646134074,95.0,24320.0,8728.75,13046.0,2545.25,9632.25,3363.875,13562.125,7325.375,8728.75,62,0.6966,2
0.6320349417626857,0.04114155125877771,0.2013044960404697,0.5613886521442941,1.0889456766216379,95.0,24320.0,9606.125,12399.625,2314.25,8045.0,2631.375,14488.625,8286.5,9606.125,63,0.699,2
0.6414071739112077,0.04148142993064156,0.2134459599460426,0.5606161554000879,1.0617170581692144,95.0,24320.0,9664.125,12338.0,2317.875,8246.0,2760.875,14329.0,8324.375,9664.125,64,0.746,2
0.6522668176967847,0.040525681788016014,0.21784523898049404,0.5746185372142415,1.0658662745827123,95.0,24320.0,9755.625,12141.125,2423.25,9635.75,3586.125,14085.25,7996.125,9755.625,65,0.7376,2
0.6591809237866024,0.04070489383700892,0.22035435198953277,0.5826424638691701,1.0680044575741416,95.0,24320.0,9025.125,12577.25,2717.625,10467.5,3630.625,13235.75,7275.625,9025.125,66,0.7581,2
0.6530858733152088,0.037455150668546065,0.22182905224985197,0.5779960304498672,1.0480365446523616,95.0,24320.0,9406.0,12361.75,2552.25,9971.125,3528.0,13565.75,7609.75,9406.0,67,0.7341,2
0.6425601734926827,0.03757458818482088,0.22169910052693204,0.5647371505436145,1.0091791010216662,95.0,24320.0,10373.25,11569.0,2377.75,8838.75,3113.5,14316.875,8707.875,10373.25,68,0.7555,2
0.6342085825377389,0.03635489464657823,0.21431987698336966,0.566885595690263,1.0009101106932288,95.0,24320.0,11171.75,10838.875,2309.375,7805.375,2415.625,14679.0,9997.5,11171.75,69,0.7609,2
0.6477794948377107,0.03831678124016004,0.2219712797846449,0.5730362607068137,1.0097330158478335,95.0,24320.0,10582.875,11248.375,2488.75,9499.375,3379.125,14159.5,8642.25,10582.875,70,0.7647,2
0.6457150230674368,0.03342215567612775,0.22983724120024007,0.5694842188373992,0.9771351564871638,95.0,24320.0,10897.5,11018.125,2404.375,8530.5,2823.75,14326.875,9332.875,10897.5,71,0.7626,2
0.6493053722538447,0.03865701857231263,0.2214846813365033,0.5847812465539104,0.967730484510723,95.0,24320.0,11608.0,10344.875,2367.125,8554.5,2847.625,14527.125,10134.5,11608.0,72,0.7132,2
0.6269062338691009,0.035907117932066815,0.21120746221981548,0.5692700968369058,0.9515660562797597,95.0,24320.0,11423.625,10582.375,2314.0,8608.0,3004.625,14648.875,9648.625,11423.625,73,0.7693,2
0.6344356069047201,0.03718270834866225,0.223029954623627,0.5565249551675822,0.959604661166668,95.0,24320.0,10966.25,10966.125,2387.625,8784.75,2964.5,14418.25,9357.25,10966.25,74,0.752,2
