loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,b_correct,b_total,lr,gate,aux_scale,tau0,delta0,eta_B,tau_warmup,a_ratio_cap,use_a_for_proto,lambda_A_scale,round,acc,phase
0.5234596318026122,0.1552624989374492,0.3681971329607462,0.0,1.9328521885369951,95.0,24320.0,9504.5,0.0,14815.5,10907.0,2473.875,11727.625,7030.625,9504.5,0.0,0.0,0.0982962913144534,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,25,0.5753,1
0.4942354080316268,0.12465335896091634,0.36958204949960893,0.0,1.8769602992032701,95.0,24320.0,9506.125,0.0,14813.875,12222.0,3138.375,11477.875,6367.75,9506.125,0.0,0.0,0.09815812833988291,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,26,0.6191,1
0.5010587726768695,0.12627167993004582,0.3747870915716416,0.0,1.8915170144093665,95.0,24320.0,9514.5,0.0,14805.5,13266.0,3530.625,11444.375,5983.875,9514.5,0.0,0.0,0.09801468428384717,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,27,0.5988,1
0.46093917031233245,0.1253530233926875,0.33558614722109936,0.0,1.8831761990722857,95.0,24320.0,9520.0,0.0,14800.0,13456.75,3939.75,12045.875,5580.25,9520.0,0.0,0.0,0.09786597487660337,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,28,0.5902,1
0.4966361856970347,0.13810609393557044,0.35853009169038974,0.0,1.9083431392908097,95.0,24320.0,9494.625,0.0,14825.375,11653.75,2877.875,11725.5,6616.75,9494.625,0.0,0.0,0.09771201642581384,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,29,0.5254,1
0.5039326495245883,0.13545419787620439,0.3684784520221384,0.0,1.8327260751473278,95.0,24320.0,9570.25,0.0,14749.75,13814.875,3950.125,11546.75,5620.125,9570.25,0.0,0.0,0.09755282581475767,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,30,0.5943,1
0.469672812482244,0.12768171994187133,0.34199109269600164,0.0,1.8378433067547646,95.0,24320.0,9601.875,0.0,14718.125,11977.0,2989.375,12144.0,6612.5,9601.875,0.0,0.0,0.0973884205004793,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,31,0.579,1
0.5075152149521991,0.1324245629243945,0.3750906525277778,0.0,1.8140098810195922,95.0,24320.0,9515.75,0.0,14804.25,13750.5,3832.5,11286.875,5683.25,9515.75,0.0,0.0,0.09721881851187407,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,32,0.6039,1
0.45117004426490315,0.1056848449509983,0.3454851995369322,0.0,1.797403665122233,95.0,24320.0,9613.375,0.0,14706.625,12331.25,3112.25,11943.375,6501.125,9613.375,0.0,0.0,0.09704403844771127,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,33,0.6417,1
0.4526197922367014,0.10680908362846822,0.3458107072271799,0.0,1.8257489463216379,95.0,24320.0,9543.375,0.0,14776.625,12942.125,3582.5,12049.75,5960.875,9543.375,0.0,0.0,0.0968640994745946,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,34,0.6315,1
0.42404693351372297,0.08747256318303313,0.3365743701493269,0.0,1.8322949906713084,95.0,24320.0,9596.0,0.0,14724.0,12624.875,3369.125,12290.5,6226.875,9596.0,0.0,0.0,0.09667902132486007,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,35,0.6487,1
0.40407863481852563,0.08393838165180854,0.32014025315446293,0.0,1.7751075688161346,95.0,24320.0,9609.125,0.0,14710.875,12128.25,3091.5,12648.125,6517.625,9609.125,0.0,0.0,0.09648882429441258,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,36,0.6443,1
0.42473851415867864,0.0877799552142326,0.33695855859274926,0.0,1.7475392073392866,95.0,24320.0,9617.125,0.0,14702.875,12942.125,3465.5,12222.5,6151.625,9617.125,0.0,0.0,0.09629352924049973,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,37,0.6784,1
0.3846317488602118,0.07484871138892088,0.30978303695783804,0.0,1.7856354042103417,95.0,24320.0,9633.875,0.0,14686.125,9773.375,2135.625,13144.875,7498.25,9633.875,0.0,0.0,0.09609315757942503,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,38,0.6469,1
0.36940587919793627,0.07304381052044367,0.2963620684452747,0.0,1.7912172389657872,95.0,24320.0,9671.125,0.0,14648.875,10362.625,2327.125,13293.5,7344.0,9671.125,0.0,0.0,0.09588773128419904,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,39,0.6523,1
0.3565853678621351,0.07391537928365563,0.28266998853926595,0.0,1.8483768710964603,95.0,24320.0,9670.375,0.0,14649.625,10146.0,2296.875,13750.625,7373.5,9670.375,0.0,0.0,0.09567727288213003,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,40,0.587,1
