phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
1,15,0.5275,0.39151,0.16985,0.22166,0.0,1.89892,0.5576,13,0.0,0.44002,0.0,0.55998,0.44002,0.0,0.62743,0.0,0.37257,0.46536,0.37153,16771.93616,97280.0,84672.53516,48.64,0.83141,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14967,194560,85610,0,108950,85610,0,85610,53714,0,0,31896,85610,760
1,16,0.6178,0.36944,0.14353,0.22591,0.0,1.93699,0.6178,16,0.0,0.44276,0.0,0.55724,0.44276,0.0,0.59967,0.0,0.40033,0.46694,0.39935,16743.70605,97280.0,85212.52637,48.64,0.83284,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14962,194560,86143,0,108417,86143,0,86143,51657,0,0,34486,86143,760
1,17,0.4943,0.36953,0.14575,0.22378,0.0,1.86893,0.6178,16,0.0,0.45261,0.0,0.54739,0.45261,0.0,0.54252,0.0,0.45748,0.47247,0.4567,16967.37329,97280.0,87127.74121,48.64,0.83753,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14957,194560,88059,0,106501,88059,0,88059,47774,0,0,40285,88059,760
1,18,0.446,0.39668,0.17638,0.2203,0.0,1.8082,0.6178,16,0.0,0.45435,0.0,0.54565,0.45435,0.0,0.63535,0.0,0.36465,0.47342,0.36366,16931.36499,97280.0,87459.11035,48.64,0.83738,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14952,194560,88399,0,106161,88399,0,88399,56164,0,0,32235,88399,760
1,19,0.5811,0.34795,0.12943,0.21852,0.0,1.86721,0.6178,16,0.0,0.44648,0.0,0.55352,0.44648,0.0,0.53706,0.0,0.46294,0.46903,0.46179,16880.76624,97280.0,85930.33691,48.64,0.83366,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14947,194560,86868,0,107692,86868,0,86868,46653,0,0,40215,86868,760
1,20,0.5373,0.3494,0.12038,0.22902,0.0,1.80899,0.6178,16,0.0,0.48753,0.0,0.51247,0.48753,0.0,0.56603,0.0,0.43397,0.49116,0.43309,17323.22559,97280.0,93901.2334,48.64,0.84977,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14941,194560,94853,0,99707,94853,0,94853,53690,0,0,41163,94853,760
1,21,0.6002,0.34469,0.1176,0.22709,0.0,1.82808,0.6178,16,0.0,0.50525,0.0,0.49475,0.50525,0.0,0.6036,0.0,0.3964,0.50017,0.39559,17482.10083,97280.0,97345.03809,48.64,0.85488,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14935,194560,98301,0,96259,98301,0,98301,59334,0,0,38967,98301,760
1,22,0.5287,0.33395,0.10248,0.23147,0.0,1.81106,0.6178,16,0.0,0.50275,0.0,0.49725,0.50275,0.0,0.65504,0.0,0.34496,0.49889,0.34393,17372.31226,97280.0,96849.01953,48.64,0.85427,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14928,194560,97816,0,96744,97816,0,97816,64073,0,0,33743,97816,760
1,23,0.596,0.35196,0.11688,0.23508,0.0,1.78935,0.6178,16,0.0,0.47507,0.0,0.52493,0.47507,0.0,0.57494,0.0,0.42506,0.48462,0.42415,17303.15527,97280.0,91474.93848,48.64,0.84435,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14922,194560,92429,0,102131,92429,0,92429,53141,0,0,39288,92429,760
1,24,0.6143,0.30605,0.07818,0.22787,0.0,1.77269,0.6178,16,0.0,0.53467,0.0,0.46533,0.53467,0.0,0.61419,0.0,0.38581,0.51451,0.38493,17620.62622,97280.0,103094.32422,48.64,0.86466,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14915,194560,104026,0,90534,104026,0,104026,63892,0,0,40134,104026,760
1,25,0.6321,0.3403,0.10665,0.23365,0.0,1.84382,0.6321,25,0.0,0.53083,0.0,0.46917,0.53083,0.0,0.73457,0.0,0.26543,0.51268,0.26412,17766.9729,97280.0,102342.5332,48.64,0.86458,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14908,194560,103279,0,91281,103279,0,103279,75866,0,0,27413,103279,760
1,26,0.6765,0.30811,0.07278,0.23534,0.0,1.81841,0.6765,26,0.0,0.53046,0.0,0.46954,0.53046,0.0,0.65132,0.0,0.34868,0.51253,0.3475,17785.46631,97280.0,102280.85645,48.64,0.86423,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.149,194560,103206,0,91354,103206,0,103206,67220,0,0,35986,103206,760
1,27,0.6187,0.30552,0.07407,0.23145,0.0,1.78195,0.6765,26,0.0,0.53186,0.0,0.46814,0.53186,0.0,0.58249,0.0,0.41751,0.51314,0.41652,17932.73389,97280.0,102530.92676,48.64,0.86562,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14892,194560,103479,0,91081,103479,0,103479,60276,0,0,43203,103479,760
1,28,0.6069,0.30733,0.07386,0.23347,0.0,1.77732,0.6765,26,0.0,0.54984,0.0,0.45016,0.54984,0.0,0.5785,0.0,0.4215,0.52159,0.42066,18020.24536,97280.0,106058.72949,48.64,0.87059,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14884,194560,106977,0,87583,106977,0,106977,61886,0,0,45091,106977,760
1,29,0.5463,0.32376,0.08945,0.23431,0.0,1.82048,0.6765,26,0.0,0.52712,0.0,0.47288,0.52712,0.0,0.68086,0.0,0.31914,0.51095,0.31807,17792.98242,97280.0,101635.43652,48.64,0.86197,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14876,194560,102556,0,92004,102556,0,102556,69826,0,0,32730,102556,760
1,30,0.603,0.32339,0.0904,0.23299,0.0,1.76568,0.6765,26,0.0,0.52151,0.0,0.47849,0.52151,0.0,0.55752,0.0,0.44248,0.50826,0.44151,17892.6394,97280.0,100548.49707,48.64,0.86103,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14867,194560,101465,0,93095,101465,0,101465,56569,0,0,44896,101465,760
1,31,0.5652,0.32173,0.09339,0.22834,0.0,1.74243,0.6765,26,0.0,0.54328,0.0,0.45672,0.54328,0.0,0.67103,0.0,0.32897,0.51854,0.32782,17964.37329,97280.0,104770.53027,48.64,0.86747,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14858,194560,105701,0,88859,105701,0,105701,70929,0,0,34772,105701,760
1,32,0.6208,0.32159,0.09662,0.22498,0.0,1.75702,0.6765,26,0.0,0.49794,0.0,0.50206,0.49794,0.0,0.56541,0.0,0.43459,0.49658,0.43357,17665.79346,97280.0,95958.37891,48.64,0.85298,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14849,194560,96880,0,97680,96880,0,96880,54777,0,0,42103,96880,760
1,33,0.6323,0.29337,0.0679,0.22547,0.0,1.71734,0.6765,26,0.0,0.52466,0.0,0.47534,0.52466,0.0,0.62431,0.0,0.37569,0.50978,0.37447,17816.78076,97280.0,101160.16504,48.64,0.86159,0.0,1.0,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.14839,194560,102077,0,92483,102077,0,102077,63728,0,0,38349,102077,760
